IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.24.27.44,4,4,0.00,2.23,391.43
104.24.37.209,4,4,0.00,2.26,345.26
172.64.89.48,4,4,0.00,3.60,338.62
172.67.52.244,4,4,0.00,3.53,334.60
172.64.200.15,4,4,0.00,2.23,325.09
172.67.193.125,4,4,0.00,3.59,324.01
172.67.93.198,4,4,0.00,3.63,323.54
172.66.151.194,4,4,0.00,3.67,316.81
104.22.64.54,4,4,0.00,3.60,307.64
172.67.109.4,4,4,0.00,3.61,306.64
104.24.248.240,4,4,0.00,3.55,306.48
104.23.130.247,4,4,0.00,2.25,306.43
172.67.100.74,4,4,0.00,3.66,305.50
172.64.34.75,4,4,0.00,3.63,302.05
104.22.77.81,4,4,0.00,3.49,293.13
104.22.75.102,4,4,0.00,3.59,291.46
172.64.229.215,4,4,0.00,2.30,291.41
172.66.135.136,4,4,0.00,3.53,286.44
104.22.48.116,4,4,0.00,3.60,284.76
172.66.204.72,4,4,0.00,3.63,284.58
172.67.186.95,4,4,0.00,3.53,282.85
104.24.10.197,4,4,0.00,2.30,281.58
104.23.124.27,4,4,0.00,2.50,280.73
104.24.56.134,4,4,0.00,3.67,279.36
172.64.196.66,4,4,0.00,2.18,278.85
172.67.22.240,4,4,0.00,3.57,277.77
104.16.178.226,4,4,0.00,3.53,277.69
104.23.114.213,4,4,0.00,2.39,277.18
172.64.82.48,4,4,0.00,3.58,274.18
172.66.43.226,4,4,0.00,3.66,273.34
172.67.16.118,4,4,0.00,3.52,272.20
172.66.174.158,4,4,0.00,3.60,271.78
172.67.192.213,4,4,0.00,3.65,269.57
172.67.110.167,4,4,0.00,3.58,260.25
172.66.158.241,4,4,0.00,3.49,257.24
172.67.243.218,4,4,0.00,3.54,256.95
104.22.24.162,4,4,0.00,3.59,254.66
172.67.200.16,4,4,0.00,3.46,253.82
104.24.7.205,4,4,0.00,2.18,253.27
104.24.17.22,4,4,0.00,2.17,250.08
104.23.125.216,4,4,0.00,2.13,249.71
104.16.206.38,4,4,0.00,3.62,248.43
104.24.0.145,4,4,0.00,2.21,246.55
172.66.47.157,4,4,0.00,3.57,242.98
172.67.219.188,4,4,0.00,3.54,239.54
172.64.147.32,4,4,0.00,2.11,238.63
104.24.33.228,4,4,0.00,2.27,237.77
104.24.32.226,4,4,0.00,2.11,237.41
104.24.5.108,4,4,0.00,2.67,232.98
172.67.153.134,4,4,0.00,3.66,232.71
104.27.200.175,4,4,0.00,3.48,230.37
172.67.113.150,4,4,0.00,3.63,230.07
104.16.177.34,4,4,0.00,3.52,229.43
104.24.18.107,4,4,0.00,2.30,229.04
172.66.193.122,4,4,0.00,3.48,224.45
104.24.64.14,4,4,0.00,3.58,223.55
172.66.3.138,4,4,0.00,3.61,222.00
104.24.3.230,4,4,0.00,2.33,220.69
172.66.212.91,4,4,0.00,3.61,219.03
172.64.80.110,4,4,0.00,3.59,218.55
104.23.134.76,4,4,0.00,1.97,217.87
172.67.187.170,4,4,0.00,3.64,215.76
172.67.213.186,4,4,0.00,3.49,213.49
104.24.60.215,4,4,0.00,3.55,212.32
172.64.88.35,4,4,0.00,3.51,212.07
172.66.0.241,4,4,0.00,3.58,211.65
172.64.156.172,4,4,0.00,2.27,208.27
172.67.145.114,4,4,0.00,3.67,207.99
172.64.155.3,4,4,0.00,2.12,207.90
104.22.73.47,4,4,0.00,3.47,207.82
172.67.132.81,4,4,0.00,3.68,207.36
172.67.231.117,4,4,0.00,3.50,206.02
172.66.141.174,4,4,0.00,3.47,202.06
104.24.63.164,4,4,0.00,3.64,200.65
172.67.190.101,4,4,0.00,3.45,199.23
172.67.90.11,4,4,0.00,3.63,197.54
104.24.39.169,4,4,0.00,2.30,193.97
104.27.204.145,4,4,0.00,3.52,190.57
104.24.85.207,4,4,0.00,3.49,189.13
172.67.188.42,4,4,0.00,3.53,188.55
172.67.215.228,4,4,0.00,3.68,188.41
104.16.200.245,4,4,0.00,3.49,187.96
172.64.92.200,4,4,0.00,2.15,186.35
104.21.206.247,4,4,0.00,3.51,183.70
104.23.102.246,4,4,0.00,2.15,183.49
172.67.220.155,4,4,0.00,3.60,180.56
104.24.80.231,4,4,0.00,3.52,174.39
172.64.205.182,4,4,0.00,2.23,172.87
172.67.183.212,4,4,0.00,3.48,170.42
172.67.123.186,4,4,0.00,3.68,164.46
172.66.161.90,4,4,0.00,3.48,160.06
172.67.254.1,4,4,0.00,3.49,147.13
104.22.69.20,4,4,0.00,3.64,145.96
104.16.227.200,4,4,0.00,3.52,143.36
104.27.207.23,4,4,0.00,3.50,141.73
172.67.182.146,4,4,0.00,3.47,140.23
172.67.244.200,4,4,0.00,3.45,134.02
104.24.65.6,4,4,0.00,3.50,133.68
172.64.68.19,4,4,0.00,3.47,131.49
172.66.170.238,4,4,0.00,3.55,128.04
